prompt,completion,item,response,target,type,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5,score_1,score_2,score_3,score_4,score_5
"AUT Prompt:paperclip
Response:Paperclip jewelry
Score:
",20,paperclip,Paperclip jewelry,2.0,uses,0.23297297948890627,0.44999062782737004,0.5972904739745967,0.7363927941892834,0.857749377218172,1.5,1.2588642574776931,1.4416382771624427,1.490442007162183,1.4634977832802374
"AUT Prompt:knife
Response:to clean
Score:
",20,knife,to clean,2.0,uses,0.22435232126277702,0.44579542289555774,0.5867463900163088,0.7142388185750446,0.8121860598121415,1.7,1.3522840675749541,1.3397241438752248,1.368333563589271,1.4445106711387525
"AUT Prompt:box
Response:use as a playhouse
Score:
",15,box,use as a playhouse,1.5,uses,0.16394094622461466,0.28987376481693194,0.4082170951565454,0.5252781083291674,0.6120505673543762,1.3,1.4737760830778868,1.33642701031259,1.372880118859965,1.4617890049759228
"AUT Prompt:lightbulb
Response:making a light bulb a toy
Score:
",30,lightbulb,making a light bulb a toy,3.0,uses,0.244315562581184,0.4256346111812285,0.5527814435472322,0.6685135136423928,0.7170888383051104,2.7,2.5722009132926167,2.4635886379234995,2.556451379048111,2.511983612769781
"AUT Prompt:knife
Response:instead of stabbing someone, just hit with the back of the blade
Score:
",17,knife,"instead of stabbing someone, just hit with the back of the blade",1.7,uses,0.26830655238202417,0.475046451873702,0.6467210440560002,0.7562937137138915,0.847334288051022,1.0,1.304639533825315,1.3034079517008466,1.4043309780470263,1.4146099940477874
"AUT Prompt:tire
Response:to use as a weapon
Score:
",33,tire,to use as a weapon,3.3,uses,0.22161706919991778,0.3581237802996371,0.4739112182840992,0.5396817491599037,0.604298435439884,3.0,3.190585935099739,3.0707244793146646,3.147413722793899,3.163729534695149
"AUT Prompt:bottle
Response:a boat
Score:
",30,bottle,a boat,3.0,uses,0.22108646713052274,0.3598966458339543,0.4892540669016122,0.6035569139422002,0.6914181299711909,3.3,3.4157083682025817,3.3057962263015837,3.191069293690641,3.281155901542863
"AUT Prompt:book
Response:seat booster
Score:
",30,book,seat booster,3.0,uses,0.1661636222301579,0.28740318901525874,0.3701456810118751,0.450913796631628,0.5164185151819105,3.0,3.2109224452249627,3.096710667258649,2.9898272750787926,3.0164864764594017
"AUT Prompt:book
Response:spank the kid
Score:
",30,book,spank the kid,3.0,uses,0.17621567641490574,0.2943330213559557,0.38706489768952296,0.47360015059753136,0.5558551424469458,3.0,3.2006525540302917,3.080707679143544,3.120776324438853,3.206489372810655
"AUT Prompt:rope
Response:use it as a separation in a room that you shar
Score:
",20,rope,use it as a separation in a room that you shar,2.0,uses,0.09878447719330592,0.17712224067655186,0.25371386892531334,0.3282214499539537,0.392979452149954,1.3,1.565368470443983,1.6965758682813652,1.6973531598676241,1.8625765727455306
"AUT Prompt:rope
Response:jumping
Score:
",13,rope,jumping,1.3,uses,0.4448106290881521,0.7484241193865173,0.7962703470930509,0.832839142015145,0.8646573619291648,1.0,1.1217011113486977,1.1444323041321753,1.1688264999745717,1.1699736425572542
"AUT Prompt:spoon
Response:make a dress
Score:
",41,spoon,make a dress,4.1,uses,0.22982604093317494,0.40205777807687726,0.5161115794554383,0.617353274561849,0.6990127840391094,3.3,3.1714873235626566,3.067294889804701,3.203852806242053,3.250131195223931
"AUT Prompt:box
Response:stage
Score:
",23,box,stage,2.3,uses,0.13751293411617685,0.2641718509110441,0.3806622757008105,0.4964209093541095,0.59034433964774,1.5,1.4041086956403106,1.4946574732227509,1.6124965072448092,1.5150486803754486
"AUT Prompt:box
Response:you could use it as a stepper in exercise
Score:
",22,box,you could use it as a stepper in exercise,2.2,uses,0.1541162794685391,0.2381794107118555,0.31275073787775465,0.3782511398093188,0.44304254631961376,2.0,2.352940377978406,2.3403174365481063,2.194802660646176,2.239435315103856
"AUT Prompt:spoon
Response:It's a cleaning device that scoops up tiny stuff easily
Score:
",30,spoon,It's a cleaning device that scoops up tiny stuff easily,3.0,uses,0.21848203227036178,0.425941581870721,0.6128587334465658,0.7593329005263585,0.8604467979752818,3.3,3.1538816881724454,3.0154513000983134,2.8967316759419166,2.9793750204987384
"AUT Prompt:box
Response:work hat
Score:
",23,box,work hat,2.3,uses,0.15383631983763524,0.29706598313156674,0.4343867947490833,0.5539971331167745,0.6481881372014109,1.3,1.1553557073912801,1.3275317431454965,1.364768373674602,1.4570766114776552
"AUT Prompt:rope
Response:lasso something
Score:
",10,rope,lasso something,1.0,uses,0.25894639702382943,0.48716742469523544,0.5958844902884558,0.6555592161873238,0.7061614326519161,1.3,1.1594604137494346,1.2580799928992252,1.3256160323132051,1.3452778777288623
"AUT Prompt:box
Response:friend
Score:
",16,box,friend,1.6,uses,0.5528680740641686,0.7363168868127866,0.8125174519361449,0.862080644804272,0.897494225391604,1.0,1.0747431504155878,1.1146251396377194,1.1195335559160895,1.1424377647836599
