prompt,completion,item,response,target,type,confidence_1,confidence_10,confidence_11,confidence_12,confidence_13,confidence_14,confidence_15,confidence_16,confidence_17,confidence_18,confidence_19,confidence_2,confidence_20,confidence_3,confidence_4,confidence_5,confidence_6,confidence_7,confidence_8,confidence_9,score_1,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_2,score_20,score_3,score_4,score_5,score_6,score_7,score_8,score_9
"AUT Prompt:paperclip
Response:Paperclip jewelry
Score:
",20,paperclip,Paperclip jewelry,2.0,uses,0.24614799949241611,0.95642527765495,0.9703120016989064,0.9787347255945346,0.9832430848189295,0.9872216978701968,0.991200310921464,0.9936134617201904,0.9952719943922609,0.9967356443381985,0.9978755360622371,0.43784825424856955,0.9982948787926724,0.5871445627676497,0.6776973512663882,0.7576099066369228,0.8375224620074575,0.892445504554416,0.9183893128283708,0.9385943710279812,2.8,2.895155258449528,2.903811558691763,2.8994758939367307,2.902687932103328,2.9002590328219604,2.897448238982859,2.899397365577586,2.9008981401418845,2.899575222152943,2.898661852553689,2.8437823499114203,2.899124479534648,2.8835046260980763,2.9257942094942857,2.9019774772809286,2.8731641702132893,2.8871241418496196,2.8761881756160457,2.8874642376978272
"AUT Prompt:knife
Response:to clean
Score:
",20,knife,to clean,2.0,uses,0.2480849378805833,0.960784026078948,0.9838595221643192,0.9934788200675505,0.9966017488660895,0.998495900930503,0.99903858458294,0.9994115652390352,0.9997020428660726,0.9998089036131799,0.99990320789151,0.44129368177020245,0.999942519763439,0.6117997998050517,0.703065157242148,0.7741426890814502,0.8368683907729924,0.8749134520009013,0.9084881006931722,0.9346360633860601,1.2,1.3917567010263714,1.4060224732715225,1.4137101121056876,1.4164873701407135,1.4177839972552506,1.4183175427819976,1.4187212269563776,1.419093520701522,1.419241113604056,1.4193524749976234,1.3313470497342605,1.4194106853694441,1.3226107543583265,1.3326567040011446,1.3663841488063047,1.3988849085799855,1.3815396491887757,1.3711348956127567,1.385930756334189
"AUT Prompt:box
Response:use as a playhouse
Score:
",15,box,use as a playhouse,1.5,uses,0.1257298149729823,0.8268002609242859,0.8730536749951355,0.9090758700932391,0.9283571616998397,0.9416089867022988,0.9548608117047578,0.966555506223021,0.9756633434716252,0.9827565342529251,0.9870587719369744,0.2514596299459646,0.9904093580142714,0.34937810830234606,0.43579086215764945,0.5120498497787598,0.58830883739987,0.6556071577697369,0.7149977170452901,0.7743882763208434,2.5,2.3019030290103095,2.3229937643991043,2.345857676945266,2.3594437291710535,2.3712733790183385,2.359181603749607,2.3512059340252325,2.344193411280509,2.349648557230392,2.3455093773500466,2.35,2.3490767523655407,2.476119279409,2.4610256252588276,2.437044266473935,2.3544679940421895,2.379671946442917,2.348134881774144,2.3291045453718997
"AUT Prompt:lightbulb
Response:making a light bulb a toy
Score:
",30,lightbulb,making a light bulb a toy,3.0,uses,0.13723406600681765,0.7886258099110569,0.8279440281146381,0.8549670179471235,0.8760125435895937,0.8970580692320639,0.9156306804248086,0.9300950445653988,0.9413599026847205,0.9513011050830767,0.9600741854075927,0.24411206407700006,0.967816401620104,0.3384315663283784,0.43275106857975676,0.515987737169919,0.5894438393821976,0.6542686220604709,0.7047542135727438,0.7493075917074757,2.2,2.3654574148262717,2.3908422974865484,2.41641738975198,2.4040108603046866,2.4179931265060586,2.431826922995169,2.4204459236403806,2.409431334314082,2.4197828870899967,2.4278262399391255,2.2875646998228403,2.4212038994567053,2.291030367448886,2.3583713033098945,2.429612727898623,2.438384343290076,2.4048573013750474,2.37585504790236,2.395128511538784
"AUT Prompt:knife
Response:instead of stabbing someone, just hit with the back of the blade
Score:
",17,knife,"instead of stabbing someone, just hit with the back of the blade",1.7,uses,0.2064407154606803,0.9336199267049224,0.9485744419748712,0.9602210301775606,0.9692914021899252,0.977295977396127,0.9843599902221055,0.9892150105026425,0.9918137155934914,0.9938375891532162,0.9956236513008961,0.36721690631927917,0.9974097134485761,0.5279930971778781,0.6532057205177926,0.7202272081553255,0.7793734634020599,0.8254366133039579,0.8660872004156728,0.9019612176300065,1.5,1.4693295462812264,1.4808487502297205,1.4750165020225885,1.4808649319327647,1.4875740849509231,1.4941218809104153,1.4990586829363441,1.5024673500785664,1.5055169597613545,1.5076597583393396,1.3686529502657394,1.5096158126385022,1.378198263031886,1.3632084836296396,1.4038545698689726,1.4263288957514895,1.4583423752161515,1.4649912041257012,1.48229296026172
"AUT Prompt:tire
Response:to use as a weapon
Score:
",33,tire,to use as a weapon,3.3,uses,0.17979912922075078,0.9653224476062853,0.9820463767884535,0.9874758416613707,0.992267327594412,0.9948320251996604,0.9968294137029692,0.9983849814334439,0.9988900003352855,0.9993356779519075,0.99968277202873,0.3198268318534282,0.9997954569433705,0.4434008457028028,0.5669748595521774,0.6760285440141964,0.7609596388700387,0.8271040420508804,0.88547627298128,0.9438485039116795,1.5,1.5907145651950043,1.6010904972326827,1.6049333300742832,1.6024950950534442,1.6009418501957031,1.6025429562023623,1.6039412697214768,1.6044954151990902,1.6049393842482085,1.6053543143368099,1.4124353001771597,1.6055115020185013,1.4925784134411277,1.5595819476454988,1.5338389527402405,1.5858674258688648,1.5550091912412873,1.5777516223737749,1.579127571407166
"AUT Prompt:bottle
Response:a boat
Score:
",30,bottle,a boat,3.0,uses,0.17756019514144192,0.852471128400515,0.8736776716729295,0.8948842149453441,0.9113998874521382,0.9279155599589323,0.9424905897902797,0.9570656196216271,0.9716406494529745,0.9770025032823876,0.981178319243449,0.33425651737608075,0.984863463894849,0.4562917480403491,0.5783269787046175,0.6622004843749524,0.7130723371015919,0.757966589561591,0.7975856283013911,0.8284409666964837,3.8,3.5621016139082076,3.584866969318629,3.5970743484675185,3.5844425149434214,3.5793798135225914,3.5889773180810796,3.581530745085696,3.592308094540124,3.586862242621841,3.5830878282922836,3.6593628120121267,3.5861445357757016,3.5899962264326866,3.5921071651572376,3.6057727400224007,3.576824188806953,3.6018888314499145,3.5719907790225505,3.5842075040721677
"AUT Prompt:book
Response:seat booster
Score:
",30,book,seat booster,3.0,uses,0.4730233149764651,0.8287542988479789,0.8495374949187435,0.8678786010770017,0.8840645704516397,0.9002505398262777,0.9145346076647248,0.9271402532884627,0.9382646965064905,0.9480819831893782,0.9578992698722659,0.5455637970156069,0.9655449804285353,0.609580547727143,0.6594368433109742,0.6937025407459751,0.7239419125972644,0.7541812844485536,0.7844206562998428,0.8079711027772143,3.2,2.9432013727515023,2.954376553943322,2.929980811386466,2.9184467555487776,2.925306855994452,2.9124164317067778,2.9054494815318024,2.9018279497551847,2.8842057048819156,2.864894919127976,3.1734071496547394,2.8572543561108152,3.1656980991979733,3.0775662491434295,3.0638557600610494,3.048657345053904,2.9865629570162096,2.956240999593698,2.9546017074875657
"AUT Prompt:book
Response:spank the kid
Score:
",30,book,spank the kid,3.0,uses,0.10957905793074878,0.7335668501391288,0.7738787327347858,0.809453844262807,0.8450289557908282,0.8764238815234083,0.8980012773878495,0.9195786732522907,0.9363831660481592,0.9512130788900183,0.9614055189916326,0.21915811586149755,0.9693433993241782,0.30449837198619156,0.37981088368201005,0.446273941979436,0.5127370002768619,0.5713904433606396,0.6300438864444173,0.6818053682917731,1.5,1.831965286310958,1.8042548437575745,1.83483251252008,1.8586256574310651,1.8350326175373115,1.8534134422091832,1.8756245628794503,1.8904189457736327,1.9061588460895957,1.8976122696566116,1.65,1.9066396400287968,1.7200662663383335,1.7755741875070679,1.83878342933179,1.8726433851282325,1.8549214769635587,1.8125709176918052,1.8495756888026305
"AUT Prompt:rope
Response:use it as a separation in a room that you shar
Score:
",20,rope,use it as a separation in a room that you shar,2.0,uses,0.14319009440465716,0.7944489909586985,0.8354736480734268,0.8764983051881552,0.8958769810468216,0.9152556569054879,0.9323572783269519,0.9474494062605682,0.960768162415395,0.9711408201383112,0.9782698365838398,0.2416031308006505,0.9838219201741465,0.34001616719664385,0.41666031700627815,0.49330446681591245,0.5609426916241445,0.6285809164323765,0.6882714403219617,0.747961964211547,2.2,2.2827793498166926,2.313087026900572,2.3311965565604567,2.3132169801395923,2.300233358569491,2.316737191195776,2.3053201283818354,2.3149502058320377,2.3233352439660444,2.3166065563455036,2.3222000344985534,2.322720560147427,2.3447181720907366,2.299702567106738,2.2997487789145823,2.360068852707503,2.385886558041567,2.3350753903240635,2.300354536560751
"AUT Prompt:rope
Response:jumping
Score:
",13,rope,jumping,1.3,uses,0.22123909155849125,0.9867864787666024,0.9926822996729873,0.9972739696117285,0.9984349255831086,0.9994594656318887,0.9996612094283358,0.9997691951010169,0.9998644921226816,0.9999095072482918,0.9999404456615071,0.41648190458948947,0.9999518272676715,0.5887830823412487,0.6932890293522869,0.765114846302871,0.8285009072873695,0.8844389097732277,0.9403769122590859,0.9743050258098405,1.2,1.3072864283871672,1.311400650187029,1.3154919581389548,1.3166367202669453,1.3174397413802854,1.3176582152136171,1.3177859206616296,1.3179176593983297,1.3179753777190244,1.3180212319400015,1.106241874674751,1.3180392382667137,1.162943152605091,1.2137508872471188,1.2312351835517046,1.2670989405873658,1.2565304537753632,1.2888585558707983,1.2996933991356032
"AUT Prompt:spoon
Response:make a dress
Score:
",41,spoon,make a dress,4.1,uses,0.29804094577082235,0.9196965667507374,0.9441612524812633,0.9589998344570613,0.970556133719482,0.9760149429645153,0.9814737522095486,0.9857250771242179,0.9894768581932942,0.9923987482278034,0.9949773071329505,0.42228287152335253,0.9960522104060101,0.5190425805897224,0.6158022896560923,0.7011924332021503,0.7529841733000973,0.7986902235160019,0.8390256712609138,0.8793611190058256,3.8,3.8818796435752017,3.8693933929384343,3.877603456541043,3.890967701942914,3.894933288834345,3.89941094867587,3.8963944654183136,3.8941331275744515,3.891500558075901,3.893855003056204,3.8588429861264975,3.89267455457092,3.8292315405542072,3.7932128742623883,3.8062172473329356,3.8539369966778536,3.833682507932255,3.846485495555639,3.867287769161113
