prompt,completion,item,response,target,type,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5,score_1,score_2,score_3,score_4,score_5
"AUT Prompt:paperclip
Response:Paperclip jewelry
Score:
",20,paperclip,Paperclip jewelry,2.0,uses,0.2979260135441433,0.4524879932413529,0.578637817122839,0.704787641004325,0.7956499505722968,2.0,2.1707912497191586,2.177159099511707,2.1991463720750555,2.1535643152970336
"AUT Prompt:knife
Response:to clean
Score:
",20,knife,to clean,2.0,uses,0.2981387192350067,0.5782141266148513,0.7707069513600324,0.8949896475764308,0.9536966363535297,1.0,1.339066058993889,1.3293088665433401,1.3530118829342814,1.3435928847415943
"AUT Prompt:box
Response:use as a playhouse
Score:
",15,box,use as a playhouse,1.5,uses,0.2738316712173967,0.45341486559499905,0.5768404573992005,0.6729644049473642,0.7577934909228228,1.3,1.4584272665096167,1.4673225150452407,1.4005717558757447,1.4228961963326687
"AUT Prompt:lightbulb
Response:making a light bulb a toy
Score:
",30,lightbulb,making a light bulb a toy,3.0,uses,0.3879860863207173,0.6090538945408314,0.8266943640701285,0.8590437254238722,0.8858622879406655,2.4,2.508890761655885,2.40124375059506,2.423791359874501,2.4503176682102885
"AUT Prompt:knife
Response:instead of stabbing someone, just hit with the back of the blade
Score:
",17,knife,"instead of stabbing someone, just hit with the back of the blade",1.7,uses,0.36657794731846866,0.5627929830637113,0.6285167940018354,0.6865178535807853,0.7410048066062737,1.7,1.804593540600184,1.7727422862400308,1.7328022419037032,1.8039214280977978
"AUT Prompt:tire
Response:to use as a weapon
Score:
",33,tire,to use as a weapon,3.3,uses,0.2130412436196149,0.3505910086309848,0.48600826219560966,0.6172591779970452,0.73491173853701,3.0,2.921532633966579,3.0269855969276405,2.957457008969022,3.0443131152885035
"AUT Prompt:bottle
Response:a boat
Score:
",30,bottle,a boat,3.0,uses,0.20992841234024226,0.4102435027716298,0.5567971536450929,0.6304889571711987,0.681136543669462,3.0,3.1464850185887503,3.028966440941359,3.002204751005304,3.0392195436576834
"AUT Prompt:book
Response:seat booster
Score:
",30,book,seat booster,3.0,uses,0.1954716740156115,0.35501100466681057,0.45027627112901736,0.5221862669487263,0.5897394563686232,4.0,3.7753036827676203,3.78052869992404,3.6730425037115846,3.767768430196071
"AUT Prompt:book
Response:spank the kid
Score:
",30,book,spank the kid,3.0,uses,0.14828648008132853,0.2897824278480395,0.40708668865117587,0.5043353365436037,0.5971306446190489,2.7,2.8464850185887505,3.0347989427610793,3.2209141937845644,3.2332042877837397
"AUT Prompt:rope
Response:use it as a separation in a room that you shar
Score:
",20,rope,use it as a separation in a room that you shar,2.0,uses,0.11019227329631087,0.20154487645744515,0.2928974796185794,0.3698240841195799,0.44096956299708256,2.0,2.1359785544046157,2.0,2.1456060474776675,2.0091770232597104
"AUT Prompt:rope
Response:jumping
Score:
",13,rope,jumping,1.3,uses,0.3853006886665801,0.6716318303173303,0.7418002942930502,0.8046988988893727,0.8486092016238941,1.0,1.1278964733619603,1.1820129599798865,1.1834189016552696,1.2049744093103745
"AUT Prompt:spoon
Response:make a dress
Score:
",41,spoon,make a dress,4.1,uses,0.19888693133136306,0.39777386266272613,0.5261849168025861,0.6343178657668278,0.7086364822740026,3.3,3.45,3.5598187586107044,3.4643857643328344,3.3842204131210263
"AUT Prompt:box
Response:stage
Score:
",23,box,stage,2.3,uses,0.21550031666419375,0.3363850263637544,0.44994570174993653,0.5370156918362873,0.6200984567825544,1.7,1.7359364122137946,1.8025827636674767,1.8183776797763682,1.7891187431673172
"AUT Prompt:box
Response:you could use it as a stepper in exercise
Score:
",22,box,you could use it as a stepper in exercise,2.2,uses,0.1791276497859535,0.3230607599608356,0.46256551388387657,0.5396073637514498,0.5996076167575854,2.0,1.866341139488128,1.9971279595307532,1.9689832311910842,2.022119881874954
"AUT Prompt:spoon
Response:It's a cleaning device that scoops up tiny stuff easily
Score:
",30,spoon,It's a cleaning device that scoops up tiny stuff easily,3.0,uses,0.3632946739720251,0.5906386717182316,0.8179826694644381,0.8811138175951007,0.9050756986663451,2.4,2.51547364334518,2.4,2.4429895526797925,2.439203903964671
"AUT Prompt:box
Response:work hat
Score:
",23,box,work hat,2.3,uses,0.19187764034109595,0.3046766747679992,0.41400524775139513,0.5167099373507537,0.6131920643725944,1.7,1.8110676107839194,1.808144927798828,1.7071426762287367,1.7374876299394957
"AUT Prompt:rope
Response:lasso something
Score:
",10,rope,lasso something,1.0,uses,0.33216455010654555,0.6346038146616928,0.726842588156535,0.8148574406861355,0.8753491052040985,1.0,1.1429738953191029,1.1882817109837442,1.2435537223757507,1.240543909323108
"AUT Prompt:box
Response:friend
Score:
",16,box,friend,1.6,uses,0.19083001901111804,0.30127398298592,0.4100056720078662,0.497374038612339,0.5781765687791239,1.7,1.6633410217237496,1.5669845913614278,1.6430477672217325,1.6649824809556182
"AUT Prompt:brick
Response:for home decorative accents
Score:
",23,brick,for home decorative accents,2.3,uses,0.17219069921060493,0.30421388789140646,0.4321751500823804,0.5581525567841091,0.6764973782590791,1.7,1.6132037070392204,1.5204682925481487,1.628700639066634,1.5187172639898339
"AUT Prompt:table
Response:storing stuff on
Score:
",17,table,storing stuff on,1.7,uses,0.19107057816546372,0.35707557328446504,0.5154786462111987,0.6597062853854267,0.7322285040306489,2.0,1.7675492143133056,1.7467918013735848,1.7584243915771447,1.713020595118452
"AUT Prompt:bottle
Response:jewish wedding
Score:
",30,bottle,jewish wedding,3.0,uses,0.11069843241801643,0.2163276145436274,0.3080998383550882,0.39566950606680035,0.4682673104691918,3.3,3.6417983767070847,3.837853743072734,3.9844001076689617,3.831783674976622
"AUT Prompt:book
Response:use as a pillow
Score:
",35,book,use as a pillow,3.5,uses,0.2300246044295018,0.4148545665925032,0.5323396386251128,0.6182935534920919,0.6873594643846574,2.7,2.8336588605118718,2.826230494549897,2.91989656365952,2.9580893745896075
"AUT Prompt:spoon
Response:nails
Score:
",41,spoon,nails,4.1,uses,0.3275597165231965,0.5598343366272367,0.6695530872431353,0.7426415319402856,0.7928744363841439,3.0,3.124469653739031,3.054912390887224,3.1380832564076466,3.167348192414047
"AUT Prompt:paperclip
Response:for decoration
Score:
",20,paperclip,for decoration,2.0,uses,0.3337757228592957,0.5526711860841411,0.6644720489890664,0.7571582197749445,0.8428789148278183,2.0,1.8811795501177875,1.9516482594793019,1.9330845087197084,1.9602297854972153
"AUT Prompt:spoon
Response:a wire
Score:
",36,spoon,a wire,3.6,uses,0.307224846636844,0.5355349663605332,0.6900173207868179,0.7780387218650496,0.8297838341446807,3.0,2.872103522235753,2.9679017773583336,2.9036536767007304,2.9470776591910255
"AUT Prompt:spoon
Response:you can use the spoon to dig out dirt in your backyard
Score:
",24,spoon,you can use the spoon to dig out dirt in your backyard,2.4,uses,0.31630643634997524,0.5081559878606778,0.6599214745930713,0.7877208019883875,0.8769391112213498,2.4,2.513262200639443,2.4182221974832805,2.5126094621936743,2.5927172502831732
"AUT Prompt:box
Response:put a brick into it
Score:
",10,box,put a brick into it,1.0,uses,0.0929835205423258,0.1859670410846516,0.2775089857587905,0.3595666546288041,0.4366527006693176,1.3,1.7999999999999998,1.7670129799855536,1.8201835715663925,1.8342742501940326
"AUT Prompt:brick
Response:place under tires on a hill
Score:
",17,brick,place under tires on a hill,1.7,uses,0.16411670309342105,0.30449315821747835,0.4384413074419785,0.5494882234754626,0.6571185850812192,1.7,1.6077966441375369,1.4221087670940191,1.5388956907720344,1.4997666352748855
"AUT Prompt:knife
Response:shaving the body
Score:
",13,knife,shaving the body,1.3,uses,0.30554674518910824,0.5668947259606036,0.828242706732099,0.9054970222851689,0.946848277587362,1.3,1.1616949662063054,1.331554516405302,1.3459257845849295,1.3395528370743528
"AUT Prompt:brick
Response:display item
Score:
",17,brick,display item,1.7,uses,0.1656744103650242,0.28688437406260026,0.374188635815344,0.44886392815957754,0.5127370905315334,2.0,1.8732486241954114,1.8561585352731482,1.9299982649855951,1.8764321206471546
"AUT Prompt:rope
Response:floss your teeth
Score:
",30,rope,floss your teeth,3.0,uses,0.16978925286693325,0.3292914949354707,0.47680695421788144,0.5285897558329008,0.574287917865308,3.3,3.1546859747169047,3.0140143469306517,2.924473785317207,2.882739513573749
"AUT Prompt:brick
Response:set plants on
Score:
",27,brick,set plants on,2.7,uses,0.17962268906432766,0.3195129799650175,0.4141674855378344,0.5003513936131884,0.577606149517112,2.0,1.8686529502657394,1.8529628942124978,1.9299635887708648,1.8724560083445867
"AUT Prompt:lightbulb
Response:use the energy to power a remote-control car.
Score:
",36,lightbulb,use the energy to power a remote-control car.,3.6,uses,0.26408393256001633,0.483017202295859,0.6854973769845963,0.7543878006164826,0.8063890205716298,3.9,3.628042891190768,3.6197596654663147,3.53576754239418,3.5914988841831343
"AUT Prompt:box
Response:shovel
Score:
",25,box,shovel,2.5,uses,0.15406875733624043,0.2988029605493442,0.39080161753699183,0.47858734929481805,0.5623530797151188,2.0,1.8546859747169047,1.7241072809912852,1.829741422442528,1.8253112662568465
"AUT Prompt:brick
Response:A birthday present
Score:
",14,brick,A birthday present,1.4,uses,0.08520642816899708,0.17041285633799416,0.24679140491675722,0.3208200326003603,0.3793814971649851,2.0,2.15,2.3202174422666344,2.4770760070649795,2.480614562872197
"AUT Prompt:fork
Response:throw
Score:
",22,fork,throw,2.2,uses,0.34063593885859356,0.5066486367880723,0.6300187982670185,0.7175013425000394,0.7947044168159002,2.7,2.634466339835857,2.7060450717792297,2.717500682629161,2.676941783564417
"AUT Prompt:rope
Response:a necklace
Score:
",10,rope,a necklace,1.0,uses,0.18207111981883628,0.31527718333750654,0.4443849271335687,0.5179483020883253,0.5915116770430819,1.3,1.1732486168755776,1.326286396656547,1.3651615051409036,1.4316767173751528
"AUT Prompt:box
Response:color the outside
Score:
",20,box,color the outside,2.0,uses,0.21723171154307824,0.36888388695481167,0.5135914036414163,0.6070216078961822,0.6894734737588591,1.7,1.8233332607696502,1.7604077496914663,1.6895437317807436,1.7027528337368416
"AUT Prompt:brick
Response:parking brake
Score:
",10,brick,parking brake,1.0,uses,0.15359024030012902,0.2912676419008653,0.37742395830651554,0.4609295235269313,0.5280281302101995,1.7,1.8418050429861297,1.832262012048121,1.7720668505296164,1.8264459952005925
"AUT Prompt:box
Response:where it as your outfit to a club
Score:
",23,box,where it as your outfit to a club,2.3,uses,0.14227004528726006,0.25135226192498017,0.33764339772129426,0.4187064178933632,0.49485807795411707,2.3,2.169805567928077,2.049737897914255,2.0594688158585437,2.158037506895603
"AUT Prompt:box
Response:turtle shell
Score:
",30,box,turtle shell,3.0,uses,0.12047049630168798,0.2318874918338713,0.3286882550758021,0.41821432607852466,0.4947900325828959,1.9,1.9480478678047908,2.051699989518918,1.9764124724016408,1.995539377993433
"AUT Prompt:paperclip
Response:Use as a utensil if you forget your fork
Score:
",38,paperclip,Use as a utensil if you forget your fork,3.8,uses,0.2406022076213669,0.3734753928695329,0.4871278509960052,0.5990182910784235,0.6993162333461608,3.0,2.893267518193963,2.8015137413309614,2.8946258343809124,2.88105432549664
"AUT Prompt:sock
Response:If you are bored you can use the sock as a puppet.  
Score:
",27,sock,If you are bored you can use the sock as a puppet.  ,2.7,uses,0.24547977942680446,0.44272832358045333,0.6012219814352135,0.7305807607629236,0.8361603193958064,2.7,2.833658860511872,2.956595338697833,2.858042930175253,2.951727715424627
"AUT Prompt:box
Response:chairs/desks
Score:
",15,box,chairs/desks,1.5,uses,0.2522607762867171,0.381102960725481,0.49841510463981287,0.6139084923409384,0.7126952218460005,1.3,1.435230840708763,1.5681607625277043,1.5553378133897982,1.589250454457008
"AUT Prompt:hat
Response:to put it on your arm
Score:
",21,hat,to put it on your arm,2.1,uses,0.3206813269148178,0.6036816046338627,0.8419917313783226,0.8757912945666141,0.9021144208451269,2.1,2.381274375975746,2.386574316186897,2.383233138798407,2.4012300043807158
"AUT Prompt:rope
Response:woven to make a fish net
Score:
",16,rope,woven to make a fish net,1.6,uses,0.13735683559074144,0.2410392043302888,0.32834851241519947,0.39529088100844156,0.4611954043731912,2.0,2.3011031268516473,2.3008098005885294,2.419217409502699,2.316441709399342
"AUT Prompt:shoe
Response:bug killer
Score:
",28,shoe,bug killer,2.8,uses,0.15138167231940403,0.27885782113449653,0.3967539860795072,0.4944933397407204,0.5755221099179982,3.5,3.408572656634502,3.287164552346547,3.1908737741978017,3.2766337269588024
"AUT Prompt:toothbrush
Response:You can turn it into a paintbrush.
Score:
",36,toothbrush,You can turn it into a paintbrush.,3.6,uses,0.5579023901216119,0.7104244253609688,0.8450246490355998,0.9205285315513242,0.9478742256359379,3.9,3.8355925712315453,3.654709073613507,3.6256150137300596,3.607566335627513
"AUT Prompt:bottle
Response:target
Score:
",32,bottle,target,3.2,uses,0.14911102742800025,0.2807010209564158,0.39682878265636945,0.5093836687413136,0.5831989651826599,3.0,2.859362826953685,2.988310652474633,2.946700987032792,2.8901621936758106
"AUT Prompt:bottle
Response:cut it and make a gummy out of it
Score:
",36,bottle,cut it and make a gummy out of it,3.6,uses,0.22585237525018226,0.41018771158397643,0.5945230479177706,0.688672334628678,0.7586381435668976,3.3,3.1651822096605717,3.0209497541239796,3.1001124631188137,3.035544216392477
"AUT Prompt:spoon
Response:to use as drum sticks
Score:
",24,spoon,to use as drum sticks,2.4,uses,0.24051267214327635,0.4399046806414285,0.58808023945608,0.7229956210600968,0.823256219328018,3.3,3.1640214455953837,3.3494621835385052,3.228268588754351,3.273540052013856
"AUT Prompt:hat
Response:When you put it on it transports your head to a different location.
Score:
",47,hat,When you put it on it transports your head to a different location.,4.7,uses,0.41221855375627986,0.5638652849526402,0.6801368669680923,0.7795892213436509,0.8774997098781877,2.7,2.619317573589002,2.786968384346932,2.85241593114325,2.8688832052847824
"AUT Prompt:fork
Response:rake the fairy garden
Score:
",28,fork,rake the fairy garden,2.8,uses,0.19650073641908927,0.3273984595729674,0.4325777349716098,0.5361263568483837,0.5989317707876375,3.0,3.1999058323680125,3.0783560415090965,3.121164842374555,3.2133215930282213
"AUT Prompt:box
Response:Furniture
Score:
",10,box,Furniture,1.0,uses,0.2798730979936561,0.4944592457501271,0.6167267471669364,0.7213076831853579,0.7978207304663039,1.3,1.1698055605588304,1.235267370473275,1.3026480105623641,1.2928038039811902
"AUT Prompt:brick
Response:a can be used to play with in a game of toss
Score:
",14,brick,a can be used to play with in a game of toss,1.4,uses,0.1500327463067641,0.2803834682656158,0.39187834920426856,0.5016446622327144,0.5871307527741291,1.7,1.5140393614999206,1.3677879609706707,1.5061240976846157,1.5052324305956786
"AUT Prompt:rope
Response:shirt
Score:
",14,rope,shirt,1.4,uses,0.21928621162982034,0.40108086628641093,0.49838854256578125,0.561215100365679,0.6149535030106313,1.3,1.1640214455953843,1.2686683690503018,1.3057600756869052,1.3664270113207253
"AUT Prompt:knife
Response:loosen lids
Score:
",17,knife,loosen lids,1.7,uses,0.41828187567702707,0.5326337805938948,0.6351381656790686,0.7344888223831803,0.8006706275658199,1.7,1.764407427251064,1.7217349471406211,1.6241094438251742,1.5973192165699248
