prompt,completion,item,response,target,type,confidence_1,confidence_10,confidence_11,confidence_12,confidence_13,confidence_14,confidence_15,confidence_16,confidence_17,confidence_18,confidence_19,confidence_2,confidence_20,confidence_3,confidence_4,confidence_5,confidence_6,confidence_7,confidence_8,confidence_9,score_1,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_2,score_20,score_3,score_4,score_5,score_6,score_7,score_8,score_9
"AUT Prompt:paperclip
Response:Paperclip jewelry
Score:
",20,paperclip,Paperclip jewelry,2.0,uses,0.3633384899517565,0.9901879881607026,0.9942243129768893,0.9969984357487723,0.9983088385594071,0.9991036380406306,0.9996498952028642,0.9997880106015341,0.9998955749821725,0.9999463847978524,0.9999912243028107,0.6130571386677002,0.9999940907964603,0.8075382178352102,0.8567107352835943,0.9001053296240803,0.9434999239645663,0.9615894767776042,0.9725613451792026,0.9835332135808009,3.5,3.328273517684892,3.3273467790683813,3.327270687351653,3.326447317628792,3.326903585984793,3.32738068819004,3.3275426793141807,3.327453655902157,3.327416692134165,3.3274513346912413,3.296333299977034,3.3274541225122882,3.2731331544910107,3.2918942893783525,3.297106127708735,3.3202358334247632,3.333023649939645,3.327010388800832,3.331171298542092
"AUT Prompt:knife
Response:to clean
Score:
",20,knife,to clean,2.0,uses,0.3897257080465508,0.9999851424873406,0.9999989222157722,0.9999993937321501,0.999999616460716,0.9999998391892819,0.9999999443988068,0.9999999535919126,0.9999999591678131,0.9999999627678852,0.9999999642686185,0.7794514160931016,,0.963544805317602,0.9829481038484998,0.9947167993070465,0.9980885870087068,0.9991832462054594,0.9997691750508546,0.9999370465092534,1.2,1.2847362345183126,1.2847447126950524,1.2847451442531719,1.284745058559405,1.2847452401399981,1.2847451891401789,1.2847452003121458,1.2847452059731057,1.2847452099881034,1.2847452094107035,1.3499999999999999,,1.28312953806301,1.2854365494439046,1.2832426121556137,1.2843126961928881,1.2843298824812388,1.2846320982367383,1.2847018310421026
"AUT Prompt:box
Response:use as a playhouse
Score:
",15,box,use as a playhouse,1.5,uses,0.3559181465458561,0.9866871990122116,0.9901764980908662,0.9928939669456927,0.9952921247929472,0.9969403529702136,0.99858858114748,0.9994708141161688,0.9996676669785017,0.9998029618402825,0.9998959485482599,0.5717934147740119,0.9999780090300315,0.7027283967215745,0.772812842201935,0.8428972876822955,0.9047465937380726,0.9422600941428517,0.9650131822914925,0.9827333051589466,3.5,3.395013162804949,3.394678344374018,3.393324450565872,3.3916538842764385,3.3901797248123793,3.3915163799887806,3.391965218521408,3.391809266073125,3.391959228133547,3.3920250733653288,3.386737799360556,3.391943665519641,3.3146793668083028,3.340554374661912,3.3787559353392957,3.380208199062821,3.4048835091177225,3.3906215611410815,3.396200108159221
"AUT Prompt:lightbulb
Response:making a light bulb a toy
Score:
",30,lightbulb,making a light bulb a toy,3.0,uses,0.4141223986248656,0.9843148380346075,0.9889153223273397,0.9924981830970273,0.9956600466286685,0.9973524702193968,0.9983789770163944,0.999084484132577,0.9997899912487596,0.9998643511294201,0.9999154578781703,0.5867542981097355,0.9999505829986601,0.7391014146924283,0.8438079545744315,0.9157716368546316,0.9391348238670909,0.9551920918191427,0.9693625810507992,0.9791018063749397,3.0,3.0169419499640298,3.0150023148421106,3.012782192221594,3.015282117056683,3.015765259452359,3.0167772235203856,3.016200453334599,3.0166829801156605,3.016629680424745,3.0165777193941996,2.941157005567402,3.01660875124175,2.9945109608779146,3.0572361437205506,3.013447099391244,3.005649365758669,3.0122786017576977,3.010637272962616,3.0164997239956897
"AUT Prompt:knife
Response:instead of stabbing someone, just hit with the back of the blade
Score:
",17,knife,"instead of stabbing someone, just hit with the back of the blade",1.7,uses,0.5537813418205487,0.9710628988714081,0.9800139411300143,0.986985019850322,0.9907163694044723,0.9936223473591577,0.9958855252658548,0.9972582120546509,0.9979066233810677,0.9985550347074845,0.9990006808603774,0.7124423621834695,0.9994463270132703,0.797367486593207,0.8635072399859471,0.9036230282444767,0.9183808020111764,0.9331385757778762,0.9478963495445759,0.9609200391827326,2.5,2.4371161825589027,2.428556950695694,2.4318867546367313,2.430636764697949,2.429084848374553,2.430836774770542,2.429693160558508,2.430388615485026,2.4295896631124023,2.4292641990433723,2.433189955236521,2.4288052573091172,2.4296549966070216,2.45802132182167,2.428808870178999,2.4379875349038977,2.4421313145999846,2.4445891680826977,2.4385634936191702
"AUT Prompt:tire
Response:to use as a weapon
Score:
",33,tire,to use as a weapon,3.3,uses,0.3621654236960539,0.9801740517160491,0.9841973469588186,0.9873306924444148,0.9904640379300111,0.9932292056157773,0.9959943733015435,0.9976715322822073,0.9993486912628711,0.999722916014821,0.9998301330941414,0.5560186057437891,0.9999038222432615,0.7498717877915243,0.8674497097019124,0.930384636145961,0.9535371017163634,0.9610536067892238,0.9676868992342845,0.9743201916793452,2.0,2.090678393664271,2.09357802578905,2.092328985381643,2.0952004140929823,2.0927081602976463,2.0907850026254073,2.091809137694858,2.092662010046679,2.092964219643148,2.0928470153025773,2.069729027066789,2.0929286083113983,2.180960571717282,2.1293235121260077,2.0867535605098384,2.094359376153816,2.090492937557232,2.089187148086964,2.090622388072606
"AUT Prompt:bottle
Response:a boat
Score:
",30,bottle,a boat,3.0,uses,0.27879994426670573,0.9533465543353589,0.961765581466696,0.9691953468328767,0.9766251121990573,0.9831818571216421,0.9889681642068604,0.9929450310303232,0.9948235699024324,0.9962865774470611,0.9977495849916898,0.4704161568887332,0.9984406608221801,0.6395168710126636,0.7420816387081286,0.8125733039269083,0.8503047733505947,0.8880362427742812,0.917421540707883,0.937617740931726,3.5,3.3775510483625766,3.3716199558292677,3.3802700169335282,3.386506188174398,3.3832617253560366,3.3816044027164214,3.3812775670591906,3.382257077681572,3.3808146719040137,3.379669757615764,3.296333299977035,3.3788532431352967,3.27086089954726,3.371636850001721,3.408797844112422,3.38178301606457,3.3910547631628263,3.3913412818871893,3.3721418723507592
"AUT Prompt:book
Response:seat booster
Score:
",30,book,seat booster,3.0,uses,0.7335378726089398,0.9969667234212729,0.9982163931245038,0.9990752777135644,0.9993912436962188,0.9996373182509339,0.9997865700129438,0.9999028074020718,0.9999577140568738,0.999977913086359,0.9999853438940381,0.89721228741539,0.9999911310128776,0.9294416938459348,0.9578840451930306,0.971319260650707,0.9817826169698783,0.9881289633809537,0.9930715029355416,0.995717053718042,3.2,3.1780125039917215,3.1787911717584545,3.1783795647775044,3.178544479483759,3.178402062756639,3.178524713873863,3.178434211397579,3.1783804865762826,3.1783950629120574,3.178386306356638,3.163514896730193,3.1783922186089266,3.171715276117644,3.181463000286768,3.180336210151928,3.176282773862553,3.1790041355441376,3.179606334725412,3.1788634401904
"AUT Prompt:book
Response:spank the kid
Score:
",30,book,spank the kid,3.0,uses,0.2389348639426666,0.884115777655239,0.9014241611462577,0.9166987559658281,0.9301785385823336,0.9420744049889134,0.9525724702462802,0.9597876779457164,0.9661550763919734,0.9725224748382304,0.9781416842445741,0.4497941412915416,0.9815499070328673,0.5947154619470355,0.6826146861706384,0.7601854792875566,0.7968273274255818,0.8220108768059334,0.847194426186285,0.8668073941642203,3.0,2.9207237118250227,2.9164855620011148,2.924542175017965,2.937228966511416,2.9190806295109137,2.908951669534889,2.920912381708979,2.925387875914036,2.926531114241549,2.924655264619592,2.765604686686878,2.9186667669052015,2.9445634417528788,2.9774556073671654,2.959347694783231,2.9244293354868685,2.9236809057593285,2.9556753738778725,2.9431022885680704
"AUT Prompt:rope
Response:use it as a separation in a room that you shar
Score:
",20,rope,use it as a separation in a room that you shar,2.0,uses,0.3190446236277552,0.9906474813913054,0.9951984071648624,0.9979586831766012,0.9985022137500986,0.9989818777976701,0.9993115456231203,0.9996412134485705,0.9997624914639693,0.9998569428773313,0.9999305017120198,0.6380892472555104,0.9999575624950182,0.7554592051044422,0.8109008474889002,0.8598279251673873,0.9030059196711681,0.9411103660805693,0.9707861387827134,0.9848039770285989,2.5,2.724848044801928,2.7265635707609928,2.728426243487225,2.7289006810770458,2.7286947431703994,2.7284543504595877,2.7286428382979184,2.728530187581969,2.7284708135235296,2.7285496394400877,2.65,2.7285272172865516,2.704376841223937,2.7382628113908316,2.7360855297623567,2.743923239284337,2.738095957430863,2.7277607678526383,2.7202485468941036
