prompt,completion,item,response,target,type,confidence_1,confidence_2,confidence_3,confidence_4,confidence_5,score_1,score_2,score_3,score_4,score_5,confidence_10,confidence_11,confidence_12,confidence_13,confidence_14,confidence_15,confidence_16,confidence_17,confidence_18,confidence_19,confidence_20,confidence_6,confidence_7,confidence_8,confidence_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_6,score_7,score_8,score_9
"AUT Prompt:paperclip
Response:Paperclip jewelry
Score:
",20,paperclip,Paperclip jewelry,2.0,uses,0.3309540615813968,0.4763219337499771,0.590440102439587,0.6686734330185804,0.7392967867348027,2.0,1.9389623437979724,1.892776549595771,1.9404208034898947,1.9652178183578655,0.920526220266333,0.9402281971273061,0.9540088629019944,0.9647411349232079,0.9732534187723514,0.9817371281348307,0.9862914711155908,0.9903474212785808,0.9943264779699357,0.9980392169692713,0.9988547757982222,0.7961857798032059,0.8469313830674802,0.8796905188699895,0.900198640381494,1.9611677079353445,1.970363202912544,1.9606798010006519,1.9544425131694267,1.9609633193966076,1.9526591274941856,1.9565718460647348,1.9534733195916731,1.9560605646975973,1.9599440540319757,1.9610382015341978,1.931977117612871,1.966011355109476,1.9710010101299724,1.9625489491566166
"AUT Prompt:knife
Response:to clean
Score:
",20,knife,to clean,2.0,uses,0.66886114262585,0.8341631550259473,0.9195454942695472,0.951618023578719,0.9785159413941784,1.0,1.0594495254570273,1.0725000252670556,1.0869081229801798,1.1037610879895274,0.9974432597953016,0.9979739646077802,0.9984977976741654,0.9990010031352122,0.9994186711349629,0.9996107741102671,0.9997379012337294,0.999789366470108,0.9998392145290643,0.9998772638621928,0.9999062970783122,0.9846053933021591,0.989964218003934,0.9936795460559356,0.9957055235130743,1.1111665176195895,1.1117987181305349,1.1122122251962212,1.1127097824570014,1.1131641729376134,1.1134306919623553,1.1135942926971714,1.1136913974663238,1.1137704845871261,1.1137547389635623,1.1137456288007686,1.1055932256359708,1.105562948667212,1.108907213003493,1.1103133902056703
"AUT Prompt:box
Response:use as a playhouse
Score:
",15,box,use as a playhouse,1.5,uses,0.19262230044539194,0.3783578302266756,0.5148951359083472,0.6365945370227402,0.7163719468080283,1.3,1.4963596520997158,1.4973249812694542,1.5169536264465808,1.459384061528831,0.9622550289871951,0.9739089988064188,0.9839335667962672,0.9880531140974972,0.9915469619974502,0.9944136469087618,0.9969568839084396,0.9983922858074296,0.9989813779191015,0.9993312186365749,0.9996587522079916,0.7865648898128774,0.8444851464514448,0.901388676514599,0.9335365041577918,1.5125990097115605,1.519627955353292,1.5275785862524995,1.5303821519523284,1.5288656430673162,1.5313769397741819,1.533847897189963,1.5355244896142834,1.5363880802576868,1.53683043899958,1.5371787815940572,1.4897805812124618,1.5247747309643356,1.504272111895898,1.500681334388761
"AUT Prompt:lightbulb
Response:making a light bulb a toy
Score:
",30,lightbulb,making a light bulb a toy,3.0,uses,0.3473530087042824,0.517255888585382,0.6176623115519645,0.7016922612215397,0.7782952641716467,2.7,2.6014590938660405,2.5199425225333294,2.493603684099368,2.5434452805558827,0.9361589231592736,0.9549980133945112,0.9678562126084255,0.976519907374874,0.9804677184968505,0.9844055046643937,0.9870624892862655,0.9891943928637966,0.9912346610825248,0.9927539601352636,0.9941018033268161,0.8178262880780622,0.8507803088175664,0.881908148300219,0.9109529428812763,2.540807604585048,2.541975283326597,2.5374320606226815,2.5433103702663953,2.5447465657277966,2.541367438604024,2.5393718183622376,2.5416576754507694,2.5436302410441725,2.5421861203567477,2.5437559309632065,2.5413452790649655,2.570730918517015,2.5505863938818516,2.558538689345665
"AUT Prompt:knife
Response:instead of stabbing someone, just hit with the back of the blade
Score:
",17,knife,"instead of stabbing someone, just hit with the back of the blade",1.7,uses,0.20441600936831283,0.3930610918120805,0.5213285471747806,0.5963456240270484,0.655809908953004,2.0,1.8560185021818765,1.7192159449539126,1.6916397563691798,1.7468016354000122,0.8526724304819786,0.878297311108798,0.9023330941250388,0.9256076997525674,0.9423821679284845,0.9569169898027338,0.9710064537317099,0.9844697781533283,0.9881007508720936,0.9916698851920592,0.9941154103270003,0.7076795401907134,0.7551561079495216,0.7898834863580863,0.8219035046547539,1.7307582304325473,1.7532013465266227,1.7384655160268012,1.7550999435792112,1.7576791746680827,1.7719922922013165,1.7898108867503437,1.7844799456205478,1.7900490254611783,1.7936839555306854,1.7956674939940993,1.6920645358570778,1.6988504246594265,1.7208835614988691,1.7356533188105536
"AUT Prompt:tire
Response:to use as a weapon
Score:
",33,tire,to use as a weapon,3.3,uses,0.24710396993741962,0.4413483347750622,0.5686361111781769,0.6530081184322382,0.7208544134281797,3.5,3.2799421120092807,3.2844320202502315,3.208920397561003,3.208080816207083,0.8825696417952809,0.9082641294045223,0.9254014791794616,0.9366608560263124,0.9471256846432917,0.9575465729096353,0.9640872061006608,0.9699259768057689,0.9756075807588881,0.9811447548512243,0.9856504999854286,0.765459735415726,0.8007593829484996,0.8302235980317519,0.8565698435295211,3.213865117973853,3.224788744285311,3.2095146243284427,3.1985815658610695,3.206331565487379,3.2084392406374675,3.204311421217344,3.210305277907679,3.217816017651682,3.212071886160544,3.206531091524459,3.1668191125030103,3.150648730169227,3.1736938779152517,3.199109276453041
"AUT Prompt:bottle
Response:a boat
Score:
",30,bottle,a boat,3.0,uses,0.20723115871584633,0.387222811965922,0.47472166446507114,0.5618262107789903,0.6283559117425038,3.3,3.1605518727037833,3.223117632484038,3.3280602827185652,3.3568529903747484,0.8640938021807566,0.8981304757937222,0.9150174282371625,0.931044878265144,0.9427994068637151,0.9539433025842746,0.9650244172624467,0.9724130616471212,0.9784306506364168,0.9841010484646175,0.986830477871769,0.6927631085787505,0.7428624808743378,0.788803816908036,0.8280112590360716,3.4359358273450487,3.4269945087222156,3.446797183669803,3.435662908855013,3.4451924250292962,3.4446644904334756,3.454486077017477,3.4616703348326108,3.4551408013260767,3.4496372726651576,3.4528190084620194,3.38875586845676,3.4299787705390337,3.387463509740404,3.406997665092815
"AUT Prompt:book
Response:seat booster
Score:
",30,book,seat booster,3.0,uses,0.2651217565063845,0.40408325131399336,0.5195725968172882,0.6151361953425256,0.6872052303349863,3.0,2.8968320307592044,3.0309027543171427,3.057172613610924,3.0302022395926795,0.8890233633209159,0.9053606460341304,0.921678246019182,0.9368062149708998,0.9508472944129912,0.9607559985733659,0.9680914157075116,0.9738141475085783,0.9795203114225774,0.9835250338795342,0.9872366469758831,0.7545558214096502,0.8193166212117732,0.8447082915038235,0.8699856299052502,3.0738069416474527,3.0851066298680205,3.090681573264972,3.079528135949016,3.091643972730413,3.083479396149286,3.079815978636253,3.088161854780298,3.094638831958287,3.0938463005284924,3.090485797608218,3.05428400812255,3.010472037567806,3.04021694242971,3.0622923570086455
"AUT Prompt:book
Response:spank the kid
Score:
",30,book,spank the kid,3.0,uses,0.16655847999960974,0.3179175224506268,0.43152976608854166,0.5161184737887482,0.5683961311862556,3.0,3.2380476566442216,3.254358338503031,3.163502347411345,3.240438370189303,0.7491599758236742,0.7819413954141585,0.8108769667111749,0.8346065089291135,0.8540450525378955,0.8724955951326178,0.8900252985283859,0.9055994764129408,0.9198379823308228,0.9334584492087363,0.9450213628777964,0.6086695423655871,0.6463510996848117,0.6830826871585163,0.716230285937398,3.3235619649255317,3.3393434202237993,3.3486447659985368,3.333045691466853,3.3527780569704815,3.330515106313441,3.3121879263490883,3.3291759672570707,3.3411078321753305,3.3419671514325553,3.327994485730368,3.323778902107371,3.3165627284256924,3.2726534831018164,3.29705941943653
"AUT Prompt:rope
Response:use it as a separation in a room that you shar
Score:
",20,rope,use it as a separation in a room that you shar,2.0,uses,0.1636714850606466,0.31900451293510157,0.4203432035227705,0.5064153432771752,0.5572404001741542,1.3,1.153920849164235,1.3578983431754559,1.416043148634676,1.4966675205414437,0.7560774647993829,0.7910021181299344,0.8203694172060053,0.8474674810098903,0.8734901301341964,0.8960129177357153,0.9155392959224342,0.9327099467476978,0.9478937499205211,0.9589395776871436,0.9666066917300578,0.6040073886219343,0.643529934033073,0.6814049459694798,0.7190570290034201,1.6903777914593145,1.7261245667383085,1.7502477251271389,1.745443502507255,1.7291938799949798,1.7309737105869214,1.7239147914650814,1.7326792448809913,1.7577853180631418,1.769790374628109,1.7811347822313437,1.5433822522293867,1.5652840168331723,1.6283557360231884,1.7001793350385
